,Tamb,Qirr,PelecA,PelecB
2022-11-11 11:15:00,29.4,624.0,53.76430166528647,33.102160136335016
2022-11-11 11:30:00,29.4,635.0,90.3544549090248,71.04311811210263
2022-11-11 11:45:00,29.4,646.0,55.55304257906911,33.422228361332074
2022-11-11 12:00:00,29.4,657.0,53.31425001129419,33.88844419126749
2022-11-11 12:15:00,29.4,654.5,53.853625791745124,43.53666972616952
2022-11-11 12:30:00,29.4,652.0,69.75824444218276,54.61760814766961
2022-11-11 12:45:00,29.4,649.5,75.10859395537213,32.74438218224408
2022-11-11 13:00:00,29.4,647.0,146.30923624589295,33.48286528634871
2022-11-11 13:15:00,29.45,630.75,143.66523508339702,65.67941758608572
2022-11-11 13:30:00,29.5,614.5,147.01770637750732,33.564674361982
2022-11-11 13:45:00,29.55,598.25,187.19567847227572,33.08649567671289
2022-11-11 14:00:00,29.6,582.0,156.5455037843951,80.02686250572917
2022-11-11 14:15:00,29.675,553.75,275.1521701023386,217.65658758009386
2022-11-11 14:30:00,29.75,525.5,382.4220019499988,185.1980993632863
2022-11-11 14:45:00,29.825,497.25,350.05215811254794,187.31778782831609
2022-11-11 15:00:00,29.9,469.0,224.95100702573725,185.57613981227996
2022-11-11 15:15:00,29.95,430.75,207.01625498755163,219.28122034329948
2022-11-11 15:30:00,30.0,392.5,511.4086292459684,183.10405666910052
2022-11-11 15:45:00,30.05,354.25,758.6589537981336,180.08809503213806
2022-11-11 16:00:00,30.1,316.0,1356.421750222774,179.13406688967316
2022-11-11 16:15:00,30.075000000000003,273.0,1953.9162747186458,217.7028776805952
2022-11-11 16:30:00,30.05,230.0,503.75054599831617,178.2984176499591
2022-11-11 16:45:00,30.025,187.0,489.8917039980051,133.25952210654015
2022-11-11 17:00:00,30.0,144.0,536.0694231748857,138.2568772521246
2022-11-11 17:15:00,29.75,111.75,569.179880869697,154.2920594543808
2022-11-11 17:30:00,29.5,79.5,488.16392739498207,147.28565005517405
2022-11-11 17:45:00,29.25,47.25,492.43902337139497,186.7520279245663
2022-11-11 18:00:00,29.0,15.0,534.7138193513474,211.48463948987322
2022-11-11 18:15:00,28.725,11.25,1536.8247015280147,198.38815461818993
2022-11-11 18:30:00,28.45,7.5,1377.5589659072245,184.80893327670245
2022-11-11 18:45:00,28.174999999999997,3.75,1489.3930365577369,237.01623639987034
2022-11-11 19:00:00,27.9,0.0,1215.155304097353,998.2597589688477
2022-11-11 19:15:00,27.924999999999997,0.0,1260.38123172203,1208.3367229239182
2022-11-11 19:30:00,27.95,0.0,4003.1107813999033,1641.6746749653626
